ID,Probennehmer,Expedition,Year,Lat,Lon,Locality,Rock_description,Rock_name,Rock_suite,Rock_type,Susceptibility_average,Density
4334,Jacobs,GeoMaud,1995/96,-71.867,8.884,Zentral Holtedahl,"Basit, Amphibolit, Opx + Cpx ? in Amphibolit",Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.53,
4335,Jacobs,GeoMaud,1995/96,-71.867,8.884,Zentral Holtedahl,"Basit, Amphibolit, Opx + Cpx ? in Amphibolit",Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,1.14,
4363,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Top,Amphibolit; Ft: 2610 m,Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.35,2.773
4551,Jacobs,"GeoMaud 2, NARP",1999/2000,-71.983,2.86667,"Armlenet, AS13","Gt-Amphibolit, Petro",Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,1.336,3.279
4553,Jacobs,"GeoMaud 2, NARP",1999/2000,-71.983,2.86667,"Armlenet, AS13","Gt-Amphibolit, 50 m höher in einem anderen Band, Petro",Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.58,3.422
4614,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.05,3.16667,"Risemedet, 2. Campsporn, AS5","vom Wandfuss aufgelesenes Stück Gt-Amph., check Eklogit",Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.749,3.333
4617,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.117,3.7,"W-Mühlig-Hofmann-Gebirge; Festninga, W-Sporn, AS25","Retrograder Amphibolit, war vermutlich dyke in diatexitischem Gneis, H=1820, 2. vorderster Nunatak",Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.239,2.804
4646,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.05,3.16667,"Risemedet, Südsporn, AS9","Gt-Amphibolit Boudin, check for ecologite, Petro",Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,1.895,2.858
4650,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.05,3.16667,"Risemedet, 1. Campsporn, AS4","Amphibolit vom hinteren Talende, Hangendkontakt des Augengneis, Petro",Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.448,2.896
4668,Jacobs,Heimefrontfjella,1994,-74.56,-10.03333,XU-Fjella,"typical amphibolite , interlayered with grey gneisses",Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,1.042,2.776
4725,Jacobs,Heimefrontfjella,1994,-74.28333,-9.6,Laudalkammen,amphibolite pegmatite from basic complex,Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.376,2.962
4774,Jacobs,Heimefrontfjella,1994,-74.3,-9.73333,Mittelkamm Burasbotnen,Gt-amphibolite,Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.387,2.941
4797,Jacobs,Heimefrontfjella,2000/01,-74.42406,-9.92393,Trapezberg,"Gt- Amphibolit, check for eclogite",Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,90.156,3.157
DML 1001 E,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.725,7.043,Gneis-Nunatak E Jaren,Gt-Amphibolit,Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.485,2.993624161
DML 2001 A,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.973,7.299,NW Ende Filchnerfjella,Grober Gt-Amphibolit,Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.6662,2.974757282
DML 2001 A,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.973,7.299,NW Ende Filchnerfjella,Grober Gt-Amphibolit,Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.1906,2.683774834
DML 2201 A,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.965,7.368,"Großer ""schwarzer Zug"" in N-Flanke Filchnerfjella ",Amphibolit,Amphibolite,Suite of metamorphic rocks,Metavolcanic rocks,0.4818,2.997765363
4805,Jacobs,Heimefrontfjella,2000/01,-74.56,-10.05,"Rasmusenegga, Südnunatak","Felsischer MV, Suzi-Nr.90=27,5 (KB121)",Felsic Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,24.688,2.665
4845,Jacobs,Heimefrontfjella,2000/01,-74.39167,-9.68333,Haneborg-Hansenveggen (südlicher Aufschlussbereich),"Wechsellagerung Felsischer MV/mafischer MV (KB167), repräsentiert möglicherweise die stark gescherten Äquivalente von stark mig. MV, Suzi-Nr. 325=12,5",Felsic Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,12.5,
4847,Jacobs,Heimefrontfjella,2000/01,-74.39167,-9.68333,Haneborg-Hansenveggen (2 Aufschlussbereich),"Felischer MV, rel. schwach deformiert, wie KB172, Suzi-Nr. 336=14,9 (KB172)",Felsic Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,17.108,2.623
4854,Jacobs,Heimefrontfjella,2000/01,-74.40334,-10.00833,E-Riebermonosa,"Felsischer MV, Suzi-Nr. 46=18,1, Geochron. (KB112?)",Felsic Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,18.1,
4326,Jacobs,GeoMaud,1995/96,-71.95,8.4,"Süd-Drygalski (Mundlauga), Westridge Südnunataka","typischer leukokrater Metavulkanit, nicht migmatitisch, Ft 2100 m",Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,0.688,2.604
4351,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Ost,Leukokrater Metavulkanit; H: 1770 m,Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,14.326,2.69
4352,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Ost,Leukokrater Metavulkanit; Geochronologie,Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,0.025,
4655,Jacobs,"GeoMaud 2, NARP",1999/2000,-71.983,2.86667,"Armlenet, Pseudosedimente, AS11","Leukokrater Metavulkanit aus prominenter ""Metasediment-Wand"", H=1350",Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,1.922,2.609
4809,Jacobs,Heimefrontfjella,2000/01,-74.56,-10.05,"Rasmusenegga, 2. Nunatak","Leukokrater MV, Suzi-Nr.95=28,0",Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,28,
4810,Jacobs,Heimefrontfjella,2000/01,-74.56,-10.05,"Rasmusenegga, 3. Nunatak","Leukokrater MV, extrem frisches Material; Suzi-Nr.102=49,0 (KB126)",Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,49,
4837,Jacobs,Heimefrontfjella,2000/01,-74.41666,-9.95,Magnussenknausen,"Extrem Mt-haltige LMV, Petro., Suzi ca. 170",Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,109.394,2.743
4840,Jacobs,Heimefrontfjella,2000/01,-74.41666,-9.95,Magnussenknausen,"Leukokrater MV, Geochron., Suzi-Nr. 298= 29,3 (KB160)",Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,29.3,
4841,Jacobs,Heimefrontfjella,2000/01,-74.40334,-10.00833,W-Rienermonosa,"Leukokrater MV, Suzi-Nr. 43 = 2,32, Geochronologie (KB111)",Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,6.946,2.616
4852,Jacobs,Heimefrontfjella,2000/01,-74.40334,-10.00833,W-Rienermonosa,"Leukokrater MV, Suzi-Nr. 44=27,5, Geochronologie",Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,27.5,
4853,Jacobs,Heimefrontfjella,2000/01,-74.40334,-10.00833,W-Rienermonosa,"Leukokrater MV, Suzi-Nr. 45=21.0, Geochron.",Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,21,
4309,Jacobs,GeoMaud,1995/96,-71.8,10.5,Serbakova Mitte,Metadayke (Yenja´s rock),Meta Dyke,Suite of metamorphic rocks,Metavolcanic rocks,0.4308,
4294,Jacobs,GeoMaud,1995/96,-71.9667,9.7,S´Conrad (Bjerkenuten); Halbe Hanghöhe,Metarhyolit,Meta- Rhyolite,Suite of metamorphic rocks,Metavolcanic rocks,0.3,
4619,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.05,3.16667,"Risemedet, 2. Campsporn, AS5","Metadiorit, möglicherweise U/Pb",Meta-Diorite,Suite of metamorphic rocks,Metavolcanic rocks,0.245,2.731
4785,Jacobs,Heimefrontfjella,2000/01,-74.323,-9.56667,Lauringrabben,"Metagabbro, Petro., Suzi-Nr. 304=0,56",Metagabbro,Suite of metamorphic rocks,Metavolcanic rocks,0.56,
DML 2001 C,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.973,7.299,NW Ende Filchnerfjella,Meta-Ultrabasit,Meta-Ultrabasite,Suite of metamorphic rocks,Metavolcanic rocks,0.4304,3.0247557
4271,Jacobs,GeoMaud,1995/96,-71.953,9.389,"Kurze, Mitte",MV? Petrologie,Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,0.9474,
4359,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Top,mafische Partie in Metavulkaniten; Ft 2560 m,Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,0.4643,
4723,Jacobs,Heimefrontfjella,1994,-74.28333,-9.6,Laudalkammen,metablastic metavolcanic,Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks,0.165,2.725
19,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-74.06667,-5.73333,Ladfjella,Migmatit,Migmatite,Suite of metamorphic rocks,Metavolcanic rocks,0.187,2.831
68,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.6,-4.31667,"Nunatak 1,3 km WNW´ Enden",Migmatit,Migmatite,Suite of metamorphic rocks,Metavolcanic rocks,1.167,2.786
75,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.60194,-4.25,Enden,Migmatit,Migmatite,Suite of metamorphic rocks,Metavolcanic rocks,0.56,2.69
79,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.48333,-3.78528,Svartbandufsa,Migmatit,Migmatite,Suite of metamorphic rocks,Metavolcanic rocks,0.163,2.768
4565,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.117,3.7,"W-Mühlig-Hofmann-Gebirge; Sedimentaufschlüsse im SW, AS17","Migmatit, 3 Phasen erkennbar: 1) Restit, 2) Leukosom1(grau), 3) Leukosom 2 (mit Gt), Petro",Migmatite,Suite of metamorphic rocks,Metavolcanic rocks,0.344,2.773
4615,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.117,3.7,"W-Mühlig-Hofmann-Gebirge; Festninga, W-Sporn, AS25","Migmatit, Petro, Scharte",Migmatite,Suite of metamorphic rocks,Metavolcanic rocks,0.057,2.65
4308,Jacobs,GeoMaud,1995/96,-71.833,9.7,Conrad Granulite Wall,Pseudoeclogite,Pseudoeclogite,Suite of metamorphic rocks,Metavolcanic rocks,6.75,
4242,Jacobs,GeoMaud,1995/96,-72.002,8.858,S-Holtedahl,relativ schwach charnnockitisierter Gneiss,Charnockite - Gneiss,Suite of metamorphic rocks,Metavolcanic rocks with charnockitisation,6.675,
4243,Jacobs,GeoMaud,1995/96,-72.002,8.858,S-Holtedahl,Charnockitischer Gneiss mit noch deutlich sichtbarer Foliation,Charnockite - Gneiss,Suite of metamorphic rocks,Metavolcanic rocks with charnockitisation,6.7,2.685
4245,Jacobs,GeoMaud,1995/96,-72.002,8.858,S-Holtedahl,"Völlig charnockitisierter Gneiss, Foliation nicht mehr vorhanden",Charnockite - Gneiss,Suite of metamorphic rocks,Metavolcanic rocks with charnockitisation,6,2.703
4246,Jacobs,GeoMaud,1995/96,-72.002,8.858,S-Holtedahl,"Völlig charnockitisierter Gneiss, Foliation nicht mehr vorhanden",Charnockite - Gneiss,Suite of metamorphic rocks,Metavolcanic rocks with charnockitisation,2.725,
4355,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Top,charnockitischer leukokrater MV;,Charnockite - Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks with charnockitisation,14.65,2.637
4358,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Top,"relativ mafische Partie in leukokraten MV, charnockitisch?",Charnockite - Leuco-Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks with charnockitisation,0.8444,
4272,Jacobs,GeoMaud,1995/96,-71.953,9.389,"Kurze, Mitte","charnockitiserter MV, H: 1790 m",Charnockite - Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks with charnockitisation,2.52,
4357,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Top,charnockitischer MV,Charnockite - Meta-Vulcanite,Suite of metamorphic rocks,Metavolcanic rocks with charnockitisation,2.643,
59,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.9,-5.33333,Tunga (Südseite),Matrix zu Pr. 2/1/1 (Konglomerat),Conglomerate,Other,Other,13.272,
102,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.38333,-3.61667,W´ Ende Tverregga,Konglomerat,Conglomerate,Other,Other,0.025,2.599
108,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.83472,-5.31667,Utrinden,Konglomerat,Conglomerate,Other,Other,0.005,2.661
85,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.4,-3.55,Tverreggtelen,bas. Ganggestein,Gangstein,Other,Other,0.726,3.051
4566,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.117,3.7,"W-Mühlig-Hofmann-Gebirge; Sedimentaufschlüsse im SW, AS17","intermediärer Gang mit felsischen Schlieren (typisch für diesen Hangabschnitt), Petro",Gangstein,Other,Other,0.01,2.773
4569,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.117,3.7,"W-Mühlig-Hofmann-Gebirge; Sedimentaufschlüsse im SW, AS17","intermediärer Gang, ganz schwach migmatisch, U/Pb, FT, H=1900",Gangstein,Other,Other,0.215,2.773
4579,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.117,3.7,"W-Mühlig-Hofmann-Gebirge; Metasediment-Ridge, AS17","Mafischer Gang mit felsischen Schlieren, stark deformiert, enthält ein Leukosom mit  typischem grünen Mineral, U/Pb",Gangstein,Other,Other,0.296,2.819
4637,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.017,3.95,"W-Mühlig-Hofmann-Gebirge; Hoggestabben Nord, AS 23","feinkörniger jurasssischer Gang, mit Vesikeln; SE-Dyke",Gangstein,Other,Other,26.586,2.939
4647,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.05,3.16667,"Risemedet, Südsporn, AS9","mafischer diskordanter Gang, Petro",Gangstein,Other,Other,0.21,2.915
4652,Jacobs,"GeoMaud 2, NARP",1999/2000,-71.983,2.86667,"Armlenet, AS10","mafischer Gang, hybrid mit feinkörnigem Granit",Gangstein,Other,Other,0.186,2.778
4808,Jacobs,Heimefrontfjella,2000/01,-74.42406,-9.92393,Trapezberg,"Mafischer Gang, diskordant, schwach metamorph, an Scherzone verschleppt (KB107)",Gangstein,Other,Other,30.612,2.946
DML 1001 C,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.725,7.043,Gneis-Nunatak E Jaren,Foliierter Peg Gang P2,Gangstein,Other,Other,0.0018,2.579310345
DML 1001 F,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.725,7.043,Gneis-Nunatak E Jaren,Maf/Intermed. Gang,Gangstein,Other,Other,0.3142,2.717647059
DML 1101 C,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.725,7.043,Gneis-Nunatak E Jaren,Interm Gang (foliiert?),Gangstein,Other,Other,0.007,2.567470956
NWR 10 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2004,-71.691,9.654,Conrad Mountains,Gangestein,Gangstein,Other,Other,0.0535,2.580683311
4337,Jacobs,GeoMaud,1995/96,-71.867,8.884,Zentral Holtedahl,"Leukosom mit Opx, gesäumt von Amphibol",Leukosom,Other,Other,0.3429,
4567,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.117,3.7,"W-Mühlig-Hofmann-Gebirge; Sedimentaufschlüsse im SW, AS17","Intrusives Leukosom, U/Pb, H=2060, FT",Leukosom,Other,Other,0.006,2.601
4571,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.117,3.7,"W-Mühlig-Hofmann-Gebirge; Sedimentaufschlüsse im SW, AS17","Gt-führendes Leukosom, Petro",Leukosom,Other,Other,0.024,2.606
84,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.4,-3.55,Tverreggtelen,Mylonit aus Überschiebungszone,Mylonite,Other,Other,0.171,2.832
67,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.61861,-4.23472,Nunatak 800 m S´ Enden,Pegmatit,Pegmatite,Other,Other,0.032,2.625
4301,Jacobs,GeoMaud,1995/96,-71.833,9.7,Conrad Granulite Wall,Pegmatit in Boudin neck mit Opx (U/Pb Geochronologie),Pegmatite,Other,Other,0.61,2.734
DML 1101 D,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.725,7.043,Gneis-Nunatak E Jaren,Pegmatit,Pegmatite,Other,Other,1.9374,2.542663657
DML 1401 B,Laufer,DFG Geological Expedition To Central DML Antarctica,,-71.921,7.746,Kampekalven,Pegmatit,Pegmatite,Other,Other,0.3496,2.587755102
82,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.48333,-3.78528,Svartbandufsa,Pyllonit aus Scherzone,Pyllonite,Other,Other,0.291,2.926
136,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.95139,-5.70139,Klakknabben,Quarzitschiefer,Quartz Schist,Other,Other,0.49,2.919
151,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-74.05083,-6.36667,Polaris Ridge Ost,Quarzitischer Schiefer,Quartz Schist,Other,Other,0.025,2.581
98,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.38333,-3.61667,W´ Ende Tverregga,kristalliner Schiefer,Schist,Other,Other,0.131,2.688
130,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.9,-5.91667,Drabanten,Muskovit-Glimmerschiefer (Metaflysch),Schist,Other,Other,0.055,2.693
4360,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Top,Ultramylonit mit ungeregelten Fsp-Klasten,Ultramylonite,Other,Other,0.892,2.803
4361,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Top,Ultramylonit mit ungeregelten Fsp-Klasten,Ultramylonite,Other,Other,0.571,
100,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.38333,-3.61667,W´ Ende Tverregga,Tonschiefer,,Other,Other,0.263,2.771
128,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.9,-5.91667,Drabanten,Basementschuppe im Metaflysch,,Other,Other,0.139,2.694
133,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.95139,-5.70139,Klakknabben,"""Kontaktbereich"" Quarzitschiefer/Basementschuppe",,Other,Other,0.102,2.684
135,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.95139,-5.70139,Klakknabben,Basementschuppe,,Other,Other,0.006,2.694
4183,Jacobs,GeoMaud,1995/96,-71.833,9.7,E-Conrad Ridge,3 Stücke aus der Moräne; grüne Säume um ultramafische Gesteine: U-Minralisation?,,Other,Other,0.265,
4212,Jacobs,GeoMaud,1995/96,-71.833,9.7,Conrad Gipfel,Ft-Probe von Wilfried von Sandhökalvane; H: 1830 m,,Other,Other,0.3667,
4216,Jacobs,GeoMaud,1995/96,-71.75,10.33333,NE-Dallmannberge,Mobilisat schneidet Foliation,,Other,Other,18,
4241,Jacobs,GeoMaud,1995/96,-72.002,8.858,S-Holtedahl,"Ft-Probe, H: 1760 m",,Other,Other,2.655,
4257,Jacobs,GeoMaud,1995/96,-72.083,2.83333,Reconnaissanceflug nach Gjelsvikfjella,"Steinsteinen, nicht charnockitisierter Syenit, relativ kleinkörnig",,Other,Other,30.272,2.717
4284,Jacobs,GeoMaud,1995/96,-71.97,9.696,S-Conrad,"Ft-Probe S-Conrad, H: 2400 m",,Other,Other,0.1667,
4736,Jacobs,Heimefrontfjella,1994,-74.3,-9.73333,Burasbotnen SE-Face,sulfidic cotecul (Thomas VOLEX),,Other,Other,0.342,2.842
4787,Jacobs,Heimefrontfjella,2000/01,-74.323,-9.56667,"Laudalkammen, bottom","Weber Fm., Geochron., check volcanic or not, Suzi-Nr. 310=0,03",,Other,Other,0.028,2.661
